,user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays,trending
0,thetrapbaddie,6.81E+18,6.93E+18,Use code TT for $$ off your purchase 🛍💖 #fyp #nailtech #smallbusiness #nailsupply #foryou #drill,1614053805,34,https://www.tiktok.com/@thetrapbaddie/video/6932308196203760901?lang=en,203,0,4,830,0
1,thetrapbaddie,6.81E+18,6.93E+18,Dm my insta @jnailedyou to book appointment 💞 #fyp #acrylics #nails #xzybca #nailtutorial #nailtech,1613968420,28,https://www.tiktok.com/@thetrapbaddie/video/6931941459637701893?lang=en,136,0,5,699,0
2,thetrapbaddie,6.81E+18,6.93E+18,Reply to @ykk.shireen I appreciate you! 💞🥺 #fyp #packingorders #smallbusiness #giveaway #xzybca,1613800612,59,https://www.tiktok.com/@thetrapbaddie/video/6931220719544175877?lang=en,179,1,5,728,0
3,thetrapbaddie,6.81E+18,6.93E+18,I lovee how they turned out but im so mad I didnt put primer 😭 #fyp #acrylics #acrylictoes #ItWasntMe #giveaway,1613635639,59,https://www.tiktok.com/@thetrapbaddie/video/6930512118479555845?lang=en,8092,49,54,47300,0
4,thetrapbaddie,6.81E+18,6.93E+18,Have you entered my giveaway on my IG? Make sure to go check it out to win a free Baddie Milkshake of your choice! 💟 #fyp #giveaway #smallbusiness #f,1613521384,47,https://www.tiktok.com/@thetrapbaddie/video/6930021516272815365?lang=en,156,0,0,866,0
5,thetrapbaddie,6.81E+18,6.93E+18,"Thank You Shaunaisha! 💖 Lashes Only $6, Link in bio to shop 🛍 #fyp #smallbusiness #lashes #ItWasntMe #giveaway",1613443636,53,https://www.tiktok.com/@thetrapbaddie/video/6929687573963083013?lang=en,90,0,2,578,0
6,thetrapbaddie,6.81E+18,6.93E+18,Get your card clippers/ blun7 holders 🌬🖤 Available on my website ✨ #fyp #smallbusiness #ItWasntMe #xzybca #giveaway,1613336612,36,https://www.tiktok.com/@thetrapbaddie/video/6929227944820804870?lang=en,43,2,3,475,0
7,thetrapbaddie,6.81E+18,6.93E+18,Reply to @nevaehcarmen2  Dm me! 🖤✨ Many giveaways coming soon. #fyp #smallbusiness #giveaway #ItWasntMe #DoTheScottsSlide,1613257932,16,https://www.tiktok.com/@thetrapbaddie/video/6928890011047922949?lang=en,167,0,9,1015,0
8,thetrapbaddie,6.81E+18,6.93E+18,Baddie Bundles Now Available ✨🖤 #fyp #smallbusiness #DoTheScottsSlide #ItWasntMe #xyzbca,1613023711,15,https://www.tiktok.com/@thetrapbaddie/video/6927883900438056197?lang=en,104,1,10,702,0
9,thetrapbaddie,6.81E+18,6.93E+18,Tag someone whod love to start doing nails ❤️ #fyp #DoTheScottsSlide #ItWasntMe #nails #nailtutorial #smallbusiness,1612948179,39,https://www.tiktok.com/@thetrapbaddie/video/6927559506868112645?lang=en,199,1,7,1152,0
10,thetrapbaddie,6.81E+18,6.93E+18,Giveaway Time 💞 Always Love Yourself! #fyp #TrulyGlowingSelfieLove #DoTheScottsSlide #ItWasntMe #giveaway,1612939889,20,https://www.tiktok.com/@thetrapbaddie/video/6927523892168936709?lang=en,108,3,88,1109,0
11,thetrapbaddie,6.81E+18,6.93E+18,Show sum love please 🥺 #fyp #nails #nailtutorial #DoTheScottsSlide #ItWasntMe,1612935003,59,https://www.tiktok.com/@thetrapbaddie/video/6927502934687124741?lang=en,142,0,6,922,0
12,thetrapbaddie,6.81E+18,6.93E+18,Great Valentines Gift 💕 #fyp #smallbusiness #foryou #viral #bling #foryoupage #xyzbca #ItWasntMe #DoritosFlatLife #TurboTaxLivePick6 #fy,1612832068,35,https://www.tiktok.com/@thetrapbaddie/video/6927060923580468485?lang=en,87,0,2,648,0
